Id_customer,response_code,cell_package_sk
2917,1,118512
17018,1,118512
13025,1,118512
11612,1,118512
2953,1,118512
8715,1,118512
2492,1,118512
6011,1,118512
14627,1,118512
1860,1,118512
13796,1,118512
245,1,118512
12461,1,118512
18512,1,118512
9987,1,118512
6120,1,118512
337,1,118512
3737,1,118512
14856,1,118512
14405,1,118512
15962,1,118512
307,1,118512
4141,1,118512
1748,1,118512
19180,1,118512
11938,1,118512
11225,1,118512
18068,1,118512
1387,1,118512
10523,1,118512
6127,1,118512
18829,1,118512
6870,1,118512
12411,1,118512
9975,1,118512
4639,1,118512
8046,1,118512
17051,1,118512
18880,1,118512
15459,1,118512
18951,1,118512
14726,1,118512
469,1,118512
2922,1,118512
12495,1,118512
18615,1,118512
14208,1,118512
2147,1,118512
12807,1,118512
9561,1,118512
5869,1,118512
8427,1,118512
2504,1,118512
5416,1,118512
10266,1,118512
9739,1,118512
14609,1,118512
4799,1,118512
8686,1,118512
1173,1,118512
15449,1,118512
12443,1,118512
11427,1,118512
15379,1,118512
6826,1,118512
7573,1,118512
15122,1,118512
312,1,118512
12758,1,118512
1725,1,118512
16039,1,118512
14729,1,118512
11698,1,118512
7377,1,118512
7877,1,118512
16290,1,118512
809,1,118512
9180,1,118512
2312,1,118512
8544,1,118512
19129,1,118512
4179,1,118512
3844,1,118512
7756,1,118512
16449,1,118512
10141,1,118512
9131,1,118512
17030,1,118512
7604,1,118512
4969,1,118512
8868,1,118512
4718,1,118512
12451,1,118512
12141,1,118512
17471,1,118512
17846,1,118512
13385,1,118512
6948,1,118512
19595,1,118512
7871,1,118512
14921,1,118512
12464,1,118512
17976,1,118512
14121,1,118512
9570,1,118512
4966,1,118512
5612,1,118512
4486,1,118512
10833,1,118512
16237,1,118512
14093,1,118512
14931,1,118512
7725,1,118512
15719,1,118512
15867,1,118512
9571,1,118512
5118,1,118512
5261,1,118512
13798,1,118512
7270,1,118512
14124,1,118512
3621,1,118512
5588,1,118512
17432,1,118512
15065,1,118512
3654,1,118512
8104,1,118512
6503,1,118512
5614,1,118512
9132,1,118512
8957,1,118512
5531,1,118512
9331,1,118512
16643,1,118512
14295,1,118512
7811,1,118512
17491,1,118512
3751,1,118512
5150,1,118512
2944,1,118512
839,1,118512
7295,1,118512
4800,1,118512
7963,1,118512
14603,1,118512
11097,1,118512
16353,1,118512
5690,1,118512
144,1,118512
7641,1,118512
4347,1,118512
8797,1,118512
9208,1,118512
14273,1,118512
3213,1,118512
13047,1,118512
2835,1,118512
1872,1,118512
17790,1,118512
15277,1,118512
6427,1,118512
3515,1,118512
1938,1,118512
10775,1,118512
13253,1,118512
15870,1,118512
1303,1,118512
6212,1,118512
19542,1,118512
2694,1,118512
7496,1,118512
17201,1,118512
16595,1,118512
16777,1,118512
18724,1,118512
13221,1,118512
10817,1,118512
13018,1,118512
11261,1,118512
13649,1,118512
5483,1,118512
6327,1,118512
11710,1,118512
8265,1,118512
4497,1,118512
19611,1,118512
3549,1,118512
3505,1,118512
19927,1,118512
18802,1,118512
13691,1,118512
8960,1,118512
11411,1,118512
5502,1,118512
8176,1,118512
4585,1,118512
3191,1,118512
10526,1,118512
16462,1,118512
12143,1,118512
2456,1,118512
12951,1,118512
13741,1,118512
5079,1,118512
19170,1,118512
3856,1,118512
3871,1,118512
1146,1,118512
18289,1,118512
19911,1,118512
11346,1,118512
2418,1,118512
2420,1,118512
3086,1,118512
18681,1,118512
16619,1,118512
3132,1,118512
2373,1,118512
14203,1,118512
5186,1,118512
18187,1,118512
14447,1,118512
7504,1,118512
9634,1,118512
1283,1,118512
663,1,118512
19322,1,118512
13246,1,118512
5573,1,118512
13566,1,118512
18604,1,118512
14261,1,118512
9091,1,118512
4743,1,118512
5538,1,118512
17624,1,118512
18001,1,118512
18177,1,118512
739,1,118512
9548,1,118512
1957,1,118512
15000,1,118512
14740,1,118512
19216,1,118512
8779,1,118512
16468,1,118512
11372,1,118512
4105,1,118512
9418,1,118512
11377,1,118512
16434,1,118512
18426,1,118512
3758,1,118512
3264,1,118512
19601,1,118512
14252,1,118512
19457,1,118512
11455,1,118512
4057,1,118512
18538,1,118512
9846,1,118512
6260,1,118512
5640,1,118512
13514,1,118512
17764,1,118512
13568,1,118512
11564,1,118512
6782,1,118512
9493,1,118512
13664,1,118512
17288,1,118512
16298,1,118512
17,1,118512
16465,1,118512
16879,1,118512
12450,1,118512
3964,1,118512
6678,1,118512
14441,1,118512
4566,1,118512
8023,1,118512
3109,1,118512
17868,1,118512
4068,1,118512
19362,1,118512
17897,1,118512
18956,1,118512
19740,1,118512
13314,1,118512
19822,1,118512
7657,1,118512
366,1,118512
8382,1,118512
18787,1,118512
8663,1,118512
7685,1,118512
16226,1,118512
5291,1,118512
960,1,118512
2630,1,118512
9823,1,118512
3032,1,118512
3257,1,118512
15219,1,118512
10128,1,118512
6832,1,118512
6203,1,118512
10029,1,118512
2149,1,118512
10811,1,118512
2685,1,118512
18210,1,118512
17669,1,118512
15311,1,118512
11401,1,118512
13036,1,118512
