Date,Id_customer,id_product
2023-07-03 00:00:00,2917,6
2023-07-03 00:00:00,17018,1
2023-06-30 00:00:00,13025,1
2023-06-25 00:00:00,11612,7
2023-07-05 00:00:00,2953,1
2023-07-04 00:00:00,8715,11
2023-06-25 00:00:00,2492,11
2023-07-06 00:00:00,6011,3
2023-06-24 00:00:00,14627,10
2023-07-03 00:00:00,1860,17
2023-06-24 00:00:00,13796,20
2023-06-29 00:00:00,245,16
2023-06-23 00:00:00,12461,15
2023-06-23 00:00:00,18512,7
2023-06-28 00:00:00,9987,16
2023-07-05 00:00:00,6120,13
2023-06-30 00:00:00,337,1
2023-07-05 00:00:00,3737,6
2023-07-06 00:00:00,14856,5
2023-06-25 00:00:00,14405,12
2023-06-27 00:00:00,15962,1
2023-06-23 00:00:00,307,6
2023-06-28 00:00:00,4141,19
2023-07-02 00:00:00,1748,14
2023-07-03 00:00:00,19180,19
2023-06-23 00:00:00,11938,10
2023-06-25 00:00:00,11225,9
2023-06-28 00:00:00,18068,13
2023-06-24 00:00:00,1387,3
2023-07-03 00:00:00,10523,12
2023-07-04 00:00:00,6127,13
2023-06-25 00:00:00,18829,1
2023-07-01 00:00:00,6870,5
2023-07-01 00:00:00,12411,16
2023-06-24 00:00:00,9975,15
2023-07-04 00:00:00,4639,13
2023-06-28 00:00:00,8046,17
2023-06-26 00:00:00,17051,1
2023-07-02 00:00:00,18880,13
2023-07-05 00:00:00,15459,15
2023-07-01 00:00:00,18951,2
2023-07-06 00:00:00,14726,15
2023-06-28 00:00:00,469,9
2023-06-25 00:00:00,2922,18
2023-07-03 00:00:00,12495,3
2023-07-05 00:00:00,18615,4
2023-07-01 00:00:00,14208,6
2023-07-06 00:00:00,2147,8
2023-06-30 00:00:00,12807,8
2023-07-02 00:00:00,9561,17
2023-07-04 00:00:00,5869,6
2023-06-23 00:00:00,8427,2
2023-06-27 00:00:00,2504,19
2023-06-25 00:00:00,5416,10
2023-06-24 00:00:00,10266,3
2023-06-29 00:00:00,9739,2
2023-07-03 00:00:00,14609,5
2023-06-23 00:00:00,4799,6
2023-06-24 00:00:00,8686,8
2023-07-03 00:00:00,1173,16
2023-06-23 00:00:00,15449,6
2023-06-26 00:00:00,12443,4
2023-06-26 00:00:00,11427,7
2023-06-29 00:00:00,15379,1
2023-07-04 00:00:00,6826,11
2023-07-04 00:00:00,7573,12
2023-06-24 00:00:00,15122,11
2023-07-05 00:00:00,312,16
2023-06-24 00:00:00,12758,18
2023-07-01 00:00:00,1725,4
2023-06-25 00:00:00,16039,14
2023-07-01 00:00:00,14729,4
2023-06-28 00:00:00,11698,7
2023-06-26 00:00:00,7377,19
2023-07-03 00:00:00,7877,12
2023-06-30 00:00:00,16290,11
2023-07-02 00:00:00,809,9
2023-06-27 00:00:00,9180,3
2023-06-26 00:00:00,2312,7
2023-07-05 00:00:00,8544,6
2023-07-05 00:00:00,19129,8
2023-06-28 00:00:00,4179,9
2023-07-04 00:00:00,3844,17
2023-06-25 00:00:00,7756,7
2023-06-23 00:00:00,16449,2
2023-07-04 00:00:00,10141,15
2023-06-26 00:00:00,9131,6
2023-07-02 00:00:00,17030,11
2023-06-25 00:00:00,7604,1
2023-07-06 00:00:00,4969,11
2023-06-23 00:00:00,8868,10
2023-06-24 00:00:00,4718,6
2023-07-03 00:00:00,12451,16
2023-07-01 00:00:00,12141,16
2023-07-05 00:00:00,17471,13
2023-06-23 00:00:00,17846,5
2023-07-06 00:00:00,13385,14
2023-07-05 00:00:00,6948,4
2023-07-04 00:00:00,19595,9
2023-07-06 00:00:00,7871,20
2023-06-23 00:00:00,14921,8
2023-07-06 00:00:00,12464,20
2023-06-27 00:00:00,17976,1
2023-07-06 00:00:00,14121,4
2023-06-24 00:00:00,9570,10
2023-06-25 00:00:00,4966,2
2023-06-24 00:00:00,5612,19
2023-07-03 00:00:00,4486,14
2023-06-27 00:00:00,10833,3
2023-06-30 00:00:00,16237,12
2023-07-05 00:00:00,14093,1
2023-07-04 00:00:00,14931,5
2023-06-26 00:00:00,7725,4
2023-06-30 00:00:00,15719,15
2023-06-29 00:00:00,15867,9
2023-07-05 00:00:00,9571,18
2023-07-03 00:00:00,5118,5
2023-06-27 00:00:00,5261,6
2023-06-28 00:00:00,13798,9
2023-06-26 00:00:00,7270,20
